Category,Firm,Email,SourceFile,ID
"Anwalt Erbrecht","Anwaltskanzlei Riedel","mail@kanzlei-riedel.de","erbrecht-emails-data.json",7
"Anwalt Erbrecht","Kanzlei Dr. Hosser","anwalt@dr-hosser.de","erbrecht-emails-data.json",1
"Anwalt Erbrecht","Kanzlei Kirbach","info@kanzlei-kirbach.de","erbrecht-emails-data.json",5
"Anwalt Erbrecht","Kanzlei77 Achern","achern@kanzlei77.de","erbrecht-emails-data.json",11
"Anwalt Erbrecht","Kanzlei77 Offenburg","offenburg@kanzlei77.de","erbrecht-emails-data.json",10
"Anwalt Erbrecht","Nonnenmacher & Drotleff","info@kanzlei-nonnenmacher.de","erbrecht-emails-data.json",3
"Anwalt Erbrecht","Pierro & Pierro","info@pierropierro.de","erbrecht-emails-data.json",8
"Anwalt Erbrecht","RA Karin Vetter","kanzlei@kanzlei-vetter.com","erbrecht-emails-data.json",6
"Anwalt Erbrecht","Rechtsanwalt Weckemann","info@rechtsanwalt-weckemann.de","erbrecht-emails-data.json",9
"Anwalt Erbrecht","Roth & Maulbetsch (raits)","roth@raits.de","erbrecht-emails-data.json",2
"Bestatter","Acherner Bestattungsinstitut Schwenk","info@bestattungsinstitut-schwenk.de","bestatter-emails-data.json",21
"Bestatter","Bestattungen Eissler","info@bestattungen-eissler.de","bestatter-emails-data.json",33
"Bestatter","Bestattungen Fischer","info@bestatterfischer.de","bestatter-emails-data.json",22
"Bestatter","Bestattungen Kiechle","info@bestattungen-kiechle.de","bestatter-emails-data.json",37
"Bestatter","Bestattungen Mechler Baden-Baden","info@mechler-bestattungen.de","bestatter-emails-data.json",1
"Bestatter","Bestattungen Ohngemach","info@bestattungen-ohngemach.de","bestatter-emails-data.json",34
"Bestatter","Bestattungen Rainer Weber","mail@weberrainer.de","bestatter-emails-data.json",3
"Bestatter","Bestattungsdienst Nagel & Oszter","info@bestattungenbruchsal.de","bestatter-emails-data.json",31
"Bestatter","Bestattungsgesellschaft Fischinger","info@fischinger-bestattungen.de","bestatter-emails-data.json",30
"Bestatter","Bestattungshaus Heck GmbH","info@bestattungshaus-heck.de","bestatter-emails-data.json",8
"Bestatter","Bestattungshaus Schick (Stein-Schick)","bestattungshaus@stein-schick.de","bestatter-emails-data.json",38
"Bestatter","Bestattungsinstitut Gerstner","info@bestattungen-gerstner.de","bestatter-emails-data.json",24
"Bestatter","Bestattungsinstitut Günthner","info@bestattungen-guenthner.de","bestatter-emails-data.json",35
"Bestatter","Bestattungsinstitut Jäckle","info@bestatter-jaeckle.de","bestatter-emails-data.json",32
"Bestatter","Bestattungsinstitut Ludwig","info@bestattungsinstitut-ludwig.de","bestatter-emails-data.json",39
"Bestatter","Bestattungsinstitut Ruther","info@bestattungen-ruther.de","bestatter-emails-data.json",25
"Bestatter","Bestattungsunternehmen Braunagel","a.braunagel@bestattungen-braunagel.de","bestatter-emails-data.json",9
"Bestatter","Blumen- und Gartenbau Seiterle GmbH","info@seiterle-blumen.de","bestatter-emails-data.json",5
"Bestatter","Calwer Bestattungsdienst Wurster-Schäuble","info@calwer-bestattungsdienst.de","bestatter-emails-data.json",29
"Bestatter","Ernst Bestattungen","info@ernst-bestattung.de","bestatter-emails-data.json",2
"Bestatter","Gernsbacher Bestattungsinstitut Werner Krieg","bestattungen.krieg@t-online.de","bestatter-emails-data.json",10
"Bestatter","Hauptfriedhof Baden-Baden (Friedhofsverwaltung)","friedhof@baden-baden.de","bestatter-emails-data.json",4
"Bestatter","Hermann Gartner GbR","info@bestattungen-gartner.de","bestatter-emails-data.json",28
"Bestatter","Köppel Bestattungen","mail@koeppelbestattungen.de","bestatter-emails-data.json",19
"Bestatter","Offenburger Bestattungsinstitut Karl Heidenreich","info@bestattungen-heidenreich.de","bestatter-emails-data.json",36
"Bestatter","Pforzheimer Bestattungshaus","info@pforzheimer-bestattungshaus.de","bestatter-emails-data.json",26
"Bestatter","Schlichting Bestattungen","info@schlichting-bestattungen.de","bestatter-emails-data.json",20
"Bestatter","Schmole Grab- & Gartenpflege","kontakt@grabpflege-schmole.de","bestatter-emails-data.json",6
"Bestatter","Schürkamp-Weber Bestattungen","info@schuerkamp-weber.de","bestatter-emails-data.json",27
"Bestatter","SG Bestattungen","kontakt@sg-bestattungen.de","bestatter-emails-data.json",7
"Bestatter","Trauerhilfe Stier OHG","service@trauerhilfe-stier.de","bestatter-emails-data.json",23
"Immobilien/HV","Altpeter Immobilienmanagement (Muggensturm)","info@altpeter-immobilienmanagement.de","immobilien-emails-data.json",44
"Immobilien/HV","Arkade Immobilien (Baden-Baden)","info@arkade-immobilien.com","immobilien-emails-data.json",15
"Immobilien/HV","Arnes Hausverwaltung (Gaggenau)","info@arnes-hv.de","immobilien-emails-data.json",29
"Immobilien/HV","Augenstein & Kanschin Immobilien (Rastatt)","info@augenstein-kanschin.de","immobilien-emails-data.json",20
"Immobilien/HV","Axel Muth Immobilien","info@muth-immo.de","immobilien-emails-data.json",66
"Immobilien/HV","baden immobilien Stephan Henrich (Ettlingen)","henrich@baden-immobilien.com","immobilien-emails-data.json",31
"Immobilien/HV","Bender Immobilien (Gernsbach)","info@benderimmobiliengmbh.de","immobilien-emails-data.json",43
"Immobilien/HV","BÖCKLER Immobilien (Pforzheim)","kontakt@boeckler-immobilien.de","immobilien-emails-data.json",8
"Immobilien/HV","BRO Hausverwaltung","Info@BRO-HV.de","immobilien-emails-data.json",69
"Immobilien/HV","CENTURY 21 FSK — Klammt (Bühl/Bühlertal)","buehlertal@century21.de","immobilien-emails-data.json",36
"Immobilien/HV","CONSYS Immobilien (Gaggenau)","info@consysimmobilien.de","immobilien-emails-data.json",26
"Immobilien/HV","Dammert Immobilien","info@dammert.de","immobilien-emails-data.json",63
"Immobilien/HV","Dhonau Immobilien (Achern)","mail@dhonau-immobilien.de","immobilien-emails-data.json",39
"Immobilien/HV","Domicilia Hausverwaltung (Karlsruhe)","info@domicilia.de","immobilien-emails-data.json",7
"Immobilien/HV","Drabich Hausverwaltung (Baden-Baden)","kontakt@drabichhausverwaltung.de","immobilien-emails-data.json",19
"Immobilien/HV","Ettari Hausverwaltung (Ettlingen)","info@ettari.de","immobilien-emails-data.json",34
"Immobilien/HV","EVB Hausverwaltungen (Rastatt)","c.hillebrand@evb-hausverwaltungen.de","immobilien-emails-data.json",25
"Immobilien/HV","FF-Hausverwaltung (Rastatt)","kontakt@ff-hausverwaltung.de","immobilien-emails-data.json",24
"Immobilien/HV","GARANT Immobilien (Pforzheim)","info@garant-immo.de","immobilien-emails-data.json",9
"Immobilien/HV","Gutjahr Immobilien (Pforzheim)","info@gutjahr-immo.de","immobilien-emails-data.json",10
"Immobilien/HV","Hardt Immobilien (Stutensee)","info@hardt-immobilien-karlsruhe.de","immobilien-emails-data.json",52
"Immobilien/HV","Hartmann Immobilien (1a-makler)","info@1a-makler.com","immobilien-emails-data.json",64
"Immobilien/HV","Hawlitzki Immobilien (Rheinstetten)","info@hawlitzki-immobilien.de","immobilien-emails-data.json",45
"Immobilien/HV","Heim & Wert Immobilien (Gernsbach)","info@heim-und-wert.de","immobilien-emails-data.json",42
"Immobilien/HV","Hiller Immobilien & Hausverwaltung (Sinzheim)","info@hiller-immobilien.com","immobilien-emails-data.json",49
"Immobilien/HV","HUST Immobilien (Karlsruhe-Durlach)","info@hust-immobilien.de","immobilien-emails-data.json",5
"Immobilien/HV","Immobilien Gerd Jancke (Baden-Baden)","info@jancke-gmbh.de","immobilien-emails-data.json",16
"Immobilien/HV","Immobilien Throm GmbH (Karlsruhe)","throm@throm.de","immobilien-emails-data.json",1
"Immobilien/HV","Immobilien-Becht (Pforzheim)","info@immo-becht.de","immobilien-emails-data.json",11
"Immobilien/HV","Immoks Objektmanagement","info@immoks-management.de","immobilien-emails-data.json",70
"Immobilien/HV","ISO Immobilien Service Ortenau (Achern)","info@iso-immobilien.de","immobilien-emails-data.json",41
"Immobilien/HV","Jutt & Disse Immobilien (Sinzheim)","info@jutt-immobilien.de","immobilien-emails-data.json",50
"Immobilien/HV","Katterle Hausverwaltung (Ettlingen)","info@katterle-hausverwaltung.de","immobilien-emails-data.json",35
"Immobilien/HV","Königskinder Immobilien (Achern)","achern@koenigskinder.de","immobilien-emails-data.json",40
"Immobilien/HV","Lange Immo","d.lange@langeimmo.de","immobilien-emails-data.json",60
"Immobilien/HV","Maggiore Hausverwaltung (Gaggenau)","info@maggiore-hausverwaltung.de","immobilien-emails-data.json",28
"Immobilien/HV","Maklerbüro Arnold Ernst","info@immobilien-ernst.com","immobilien-emails-data.json",67
"Immobilien/HV","MAPA Immobilien (Karlsruhe)","info@mapa-immo.de","immobilien-emails-data.json",2
"Immobilien/HV","MCS-Immobilien — Mirjam Sponer (Ettlingen)","mirjam.sponer@mcs-immo.com","immobilien-emails-data.json",32
"Immobilien/HV","MM Immobilienberatung","info@mm-immobilienberatung.de","immobilien-emails-data.json",65
